CS ID,Ve0,Ve0-Vo0,dx0,Vy
LS-THC-G1-2-E1-10-00B-3030-00000001,60,40,0,0.1
LS-THC-G1-2-E1-10-00B-3030-00000002,60,40,1,0.1
LS-THC-G1-2-E1-10-00B-3030-00000003,60,40,2,0.1
LS-THC-G1-2-E1-10-00B-3030-00000004,60,40,3,0.1
LS-THC-G1-2-E1-10-00B-3030-00000005,60,40,4,0.1
LS-THC-G1-2-E1-10-00B-3030-00000006,60,40,5,0.1
LS-THC-G1-2-E1-10-00B-3030-00000007,60,40,6,0.1
LS-THC-G1-2-E1-10-00B-3030-00000008,60,40,7,0.1
LS-THC-G1-2-E1-10-00B-3030-00000009,60,40,8,0.1
LS-THC-G1-2-E1-10-00B-3030-00000010,60,40,9,0.1
LS-THC-G1-2-E1-10-00B-3030-00000011,60,40,10,0.1
LS-THC-G1-2-E1-10-00B-3030-00000012,60,40,11,0.1
LS-THC-G1-2-E1-10-00B-3030-00000013,60,40,12,0.1
LS-THC-G1-2-E1-10-00B-3030-00000014,60,40,13,0.1
LS-THC-G1-2-E1-10-00B-3030-00000015,60,40,14,0.1
LS-THC-G1-2-E1-10-00B-3030-00000016,60,40,15,0.1
LS-THC-G1-2-E1-10-00B-3030-00000017,60,40,16,0.1
LS-THC-G1-2-E1-10-00B-3030-00000018,60,40,17,0.1
LS-THC-G1-2-E1-10-00B-3030-00000019,60,40,18,0.1
LS-THC-G1-2-E1-10-00B-3030-00000020,60,40,19,0.1
LS-THC-G1-2-E1-10-00B-3030-00000021,60,40,20,0.1
LS-THC-G1-2-E1-10-00B-3030-00000022,60,40,21,0.1
LS-THC-G1-2-E1-10-00B-3030-00000023,60,40,22,0.1
LS-THC-G1-2-E1-10-00B-3030-00000024,60,40,23,0.1
LS-THC-G1-2-E1-10-00B-3030-00000025,60,40,24,0.1
LS-THC-G1-2-E1-10-00B-3030-00000026,60,40,25,0.1
LS-THC-G1-2-E1-10-00B-3030-00000027,60,40,26,0.1
LS-THC-G1-2-E1-10-00B-3030-00000028,60,40,27,0.1
LS-THC-G1-2-E1-10-00B-3030-00000029,60,40,28,0.1
